what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.server.ui,1.1.2.v20080916,org.eclipse.wst.server.ui,1412075587077
started,bundle,org.eclipse.jdt.launching,3.4.1.v20080729_r341,org.eclipse.jdt.launching,1412075587170
started,bundle,org.eclipse.jst.common.frameworks,1.1.200.v200805140020,org.eclipse.jst.common.frameworks,1412075587967
started,bundle,org.eclipse.wst.web.ui,1.1.200.v200805281530,org.eclipse.wst.web.ui,1412075588124
started,bundle,org.eclipse.jst.server.core,1.1.1.v20080730,org.eclipse.jst.server.core,1412075600936
started,bundle,org.eclipse.jst.server.tomcat.core,1.1.103.v20080827,org.eclipse.jst.server.tomcat.core,1412075600936
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.101.v20080620,org.eclipse.jst.server.tomcat.ui,1412075600967
started,bundle,org.eclipse.wst.common.project.facet.ui,1.3.2.v200809022055,org.eclipse.wst.common.project.facet.ui,1412075607061
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1412075610874
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.import,1412075610889
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1412075614108
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1412075617436
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1412075617530
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1412075619795
closed,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1412075619920
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,org.eclipse.jst.j2ee.xdoclet.runtime,1412075620811
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1412075620827
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.5.205.v200805140145,org.eclipse.jst.server.generic.jboss,1412075620842
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,org.eclipse.jst.server.generic.jonas,1412075620858
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.205.v200805140145,org.eclipse.jst.server.generic.oc4j,1412075620858
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,org.eclipse.jst.server.websphere.core,1412075620858
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.305.v200805140145,org.eclipse.jst.server.generic.ui,1412075620874
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.305.v200805140145,org.eclipse.jst.server.generic.core,1412075620889
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.ide.ant,1412075620905
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.0.6.v200805152355,org.eclipse.datatools.connectivity.oda.template.ui,1412075620920
